GAMEINIT
  BUILDINGS
    BUILDING_LABEL "E(Building)C(Budova)"
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-basiclab
    BUILDING  52 
      NAME "E(Ar. weapon lab)C(Ar. weapon lab)"
      NATION  2 
      KIND  10 
      OIL  0 
      SIBERIUM  0 
      CANS  45 
      TIME  55 
      POWER  20 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-weaponlab
    BUILDING  53 
      NAME "E(Ar. siberium lab)C(Ar. siberium lab)"
      NATION  2 
      KIND  11 
      OIL  0 
      SIBERIUM  5 
      CANS  25 
      TIME  110 
      POWER  30 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-siberiumlab
    BUILDING  54 
      NAME "E(Ar. biological lab)C(Ar. biological lab)"
      NATION  2 
      KIND  13 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  110 
      POWER  20 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-biologicallab
    BUILDING  55 
      NAME "E(Ar. opto lab )C(Ar. opto lab )"
      NATION  2 
      KIND  15 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  55 
      POWER  20 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-optolab
    BUILDING  56 
      NAME "E(Ar. oil power)C(Ar. oil power)"
      NATION  2 
      KIND  26 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  55 
      POWER -30 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-oilpower
      TECHNOLOGY 46 
    BUILDING  57 
      NAME "E(Ar. solar power)C(Ar. solar power)"
      NATION  2 
      KIND  27 
      OIL  0 
      SIBERIUM  0 
      CANS  25 
      TIME  85 
      POWER -15 
      ATTACK  0 
      DEFENSE  35 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-solarpower
      TECHNOLOGY 35 
    BUILDING  58 
      NAME "E(Ar. siberium power)C(Ar. siberium power)"
      NATION  2 
      KIND  28 
      OIL  0 
      SIBERIUM  20 
      CANS  20 
      TIME  110 
      POWER -60 
      ATTACK  0 
      DEFENSE  45 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-siberiumpower
      TECHNOLOGY 21 
    BUILDING  59 
      NAME "E(Ar. oil drilling tower)C(Ar. oil drilling tower)"
      NATION  2 
      KIND  29 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  55 
      POWER  0 
      ATTACK  0 
      DEFENSE  55 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-oilmine
    BUILDING  60 
      NAME "E(Ar. siberium mine)C(Ar. siberium mine)"
      NATION  2 
      KIND  30 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  55 
      POWER  0 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-siberiummine
      TECHNOLOGY 20 
    BUILDING  61 
      NAME "E(Ar. breastworks)C(Ar. breastworks)"
      NATION  2 
      KIND  31 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  30 
      POWER  0 
      ATTACK  0 
      DEFENSE  45 
      HUMANS  1 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT a-breastworks
    BUILDING  62 
      NAME "E(Ar. bunker)C(Ar. bunker)"
      NATION  2 
      KIND  32 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  55 
      POWER  15 
      ATTACK  0 
      DEFENSE  70 
      HUMANS  1 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT a-bunker
    BUILDING  63 
      NAME "E(Ar. Fort)C(Ar. Fort)"
      NATION  2 
      KIND  35 
      OIL  0 
      SIBERIUM  0 
      CANS  900 
      TIME  550 
      POWER  0 
      ATTACK 0 ATTACK_VLADA MINMAX_RANGE 1 11  DAMAGE 20 20 20  FREQUENCY 40 60  EFF 30 10 6  ANIM 2 1 2 END_OF_ATTACK
      DEFENSE  135 
      HUMANS  5 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT a-barracks
    BUILDING  64 
      NAME "E(Ru. depot)C(Ru. depot)"
      NATION  3 
      KIND  0 
      OIL  0 
      SIBERIUM  0 
      CANS  0 
      TIME  165 
      POWER  0 
      ATTACK  0 
      DEFENSE  100 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -1 -3  -2 -2  -1 -2  0 -2  1 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -4  0 -3  1 -3
      IDENT r-depot
      UPGRADED_TO  1 
    BUILDING  65 
      NAME "E(Ru. warehouse)C(Ru. warehouse)"
      NATION  3 
      KIND  1 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  165 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -1 -3  -2 -2  -1 -2  0 -2  1 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -4  0 -3  1 -3
      IDENT r-warehouse
    BUILDING  66 
      NAME "E(Ru. armoury)C(Ru. armoury)"
      NATION  3 
      KIND  4 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  85 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT r-armoury
      UPGRADED_TO  5 
    BUILDING  67 
      NAME "E(Ru. barracks)C(Ru. barracks)"
      NATION  3 
      KIND  5 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  35 
      POWER  0 
      ATTACK  0 
      DEFENSE  125 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT r-barracks
    BUILDING  68 
      NAME "E(Ru. workshop)C(Ru. workshop)"
      NATION  3 
      KIND  2 
      OIL  0 
      SIBERIUM  0 
      CANS  40 
      TIME  130 
      POWER  0 
      ATTACK  0 
      DEFENSE  65 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -3 -2  -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  3 1  -1 2  0 2  1 2  1 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT r-workshop
      UPGRADED_TO  3 
    BUILDING  69 
      NAME "E(Ru. factory)C(Ru. factory)"
      NATION  3 
      KIND  3 
      OIL  0 
      SIBERIUM  0 
      CANS  40 
      TIME  130 
      POWER  30 
      ATTACK  0 
      DEFENSE  100 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -3 -2  -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  3 1  -1 2  0 2  1 2  1 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT r-factory
    BUILDING  70 
      NAME "E(Ru. track ext.)C(Ru. track ext.)"
      NATION  3 
      KIND  16 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  35 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-trackext
    BUILDING  71 
      NAME "E(Ru. gun ext.)C(Ru. gun ext.)"
      NATION  3 
      KIND  17 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  50 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-gunext
      TECHNOLOGY 39 
    BUILDING  72 
      NAME "E(Ru. rocket ext.)C(Ru. rocket ext.)"
      NATION  3 
      KIND  18 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  65 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-rocketext
      TECHNOLOGY 40 
    BUILDING  73 
      NAME "E(Ru. non-combat ext.)C(Ru. non-combat ext.)"
      NATION  3 
      KIND  19 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  35 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-non-combatext
    BUILDING  75 
      NAME "E(Ru. siberium ext.)C(Ru. siberium ext.)"
      NATION  3 
      KIND  21 
      OIL  0 
      SIBERIUM  10 
      CANS  30 
      TIME  100 
      POWER  10 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-siberiumext
      TECHNOLOGY 21 
    BUILDING  76 
      NAME "E(Ru. computer ext.)C(Ru. computer ext.)"
      NATION  3 
      KIND  24 
      OIL  0 
      SIBERIUM  0 
      CANS  15 
      TIME  195 
      POWER  10 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-computerext
      TECHNOLOGY 27 
    BUILDING  77 
      NAME "E(Ru. basic bridge)C(Ru. basic bridge)"
      NATION  3 
      KIND  6 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  50 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-bridgebasic
      UPGRADED_TO  7 
    BUILDING  78 
      NAME "E(Ru. upgraded bridge half)C(Ru. upgraded bridge half)"
      NATION  3 
      KIND  7 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  20 
      ATTACK  0 
      DEFENSE  65 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-bridgeupg
    BUILDING  79 
      NAME "E(Ru. upgraded bridge full)C(Ru. upgraded bridge full)"
      NATION  3 
      KIND  8 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  30 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-bridgeupg
    BUILDING  80 
      NAME "E(Ru. basic lab)C(Ru. basic lab)"
      NATION  3 
      KIND  9 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  50 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-basiclab
    BUILDING  81 
      NAME "E(Ru. weapon lab)C(Ru. weapon lab)"
      NATION  3 
      KIND  10 
      OIL  0 
      SIBERIUM  0 
      CANS  50 
      TIME  65 
      POWER  20 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-weaponlab
    BUILDING  82 
      NAME "E(Ru. siberium lab)C(Ru. siberium lab)"
      NATION  3 
      KIND  11 
      OIL  0 
      SIBERIUM  5 
      CANS  30 
      TIME  130 
      POWER  30 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-siberiumlab
    BUILDING  83 
      NAME "E(Ru. computer lab)C(Ru. computer lab)"
      NATION  3 
      KIND  12 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  130 
      POWER  20 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-computerlab
    BUILDING  84 
      NAME "E(Ru. space-time lab)C(Ru. space-time lab)"
      NATION  3 
      KIND  14 
      OIL  0 
      SIBERIUM  10 
      CANS  20 
      TIME  65 
      POWER  30 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT r-spacetimelab
    BUILDING  85 
      NAME "E(Ru. oil power)C(Ru. oil power)"
      NATION  3 
      KIND  26 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER -30 
      ATTACK  0 
      DEFENSE  50 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-oilpower
      TECHNOLOGY 46 
    BUILDING  86 
      NAME "E(Ru. siberium power)C(Ru. siberium power)"
      NATION  3 
      KIND  28 
      OIL  0 
      SIBERIUM  20 
      CANS  20 
      TIME  130 
      POWER -60 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-siberiumpower
      TECHNOLOGY 21 
    BUILDING  87 
      NAME "E(Ru. oil drilling tower)C(Ru. oil drilling tower)"
      NATION  3 
      KIND  29 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  65 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-oilmine
    BUILDING  88 
      NAME "E(Ru. siberium mine)C(Ru. siberium mine)"
      NATION  3 
      KIND  30 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  50 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT r-siberiummine
      TECHNOLOGY 20 
    BUILDING  89 
      NAME "E(Ru. breastworks)C(Ru. breastworks)"
      NATION  3 
      KIND  31 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  35 
      POWER  0 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  1 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT r-breastworks
    BUILDING  90 
      NAME "E(Ru. bunker)C(Ru. bunker)"
      NATION  3 
      KIND  32 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  65 
      POWER  15 
      ATTACK  0 
      DEFENSE  85 
      HUMANS  1 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT r-bunker
    BUILDING  91 
      NAME "E(Ru. automatic turret)C(Ru. automatic turret)"
      NATION  3 
      KIND  33 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  130 
      POWER  20 
      ATTACK  0 
      DEFENSE  85 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT r-automaticturret
      TECHNOLOGY 32 
    BUILDING  92 
      NAME "E(Ru. teleport)C(Ru. teleport)"
      NATION  3 
      KIND  34 
      OIL  0 
      SIBERIUM  30 
      CANS  10 
      TIME  65 
      POWER  0 
      ATTACK  0 
      DEFENSE  65 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 11   -2 -2  -2 -1  -1 -1  -2 0  -1 0  0 0  1 0  2 0  1 1  2 1  2 2
      FLEK_TYPE  1 
      ENTRANCES 2   0 -1  0 1
      IDENT r-teleport
      TECHNOLOGY 38 
    BUILDING  93 
      NAME "E(Ru. Fort)C(Ru. Fort)"
      NATION  3 
      KIND  35 
      OIL  0 
      SIBERIUM  0 
      CANS  1000 
      TIME  650 
      POWER  0 
      ATTACK 0 ATTACK_VLADA MINMAX_RANGE 1 11  DAMAGE 20 20 20  FREQUENCY 40 60  EFF 30 10 6  ANIM 2 1 2 END_OF_ATTACK
      DEFENSE  165 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT r-barracks
    BUILDING  74 
      NAME "E(Ru. Behemoth)C(Ru. Behemoth)"
      NATION  3 
      KIND  37 
      OIL  0 
      SIBERIUM  50 
      CANS  250 
      TIME  400 
      POWER  0 
      ATTACK  0 
      DEFENSE  100 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 5   -3 -3  0 -3  -3 0  0 3  3 3
      IDENT r-behemoth
      TECHNOLOGY 23
    BUILDING  120 
      NAME "E(Ru. Wall)C(Ru. Wall)"
      NATION  3 
      KIND  40
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  130 
      POWER  0 
      ATTACK  0 
      DEFENSE  85 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 1   0 0
      FLEK_TYPE  1 
      ENTRANCES 1   0 -2
      IDENT wall
      TECHNOLOGY 32 
      SINGLEDIRECTION 1
  END_OF_BUILDINGS
END_OF_GAMEINIT
